BulkDensity,SoilTypeWRB,Longitude,PrecipitationofColdestQuarter,AnnualMeanTemperature,SiltContent,PrecipitationofDriestQuarter,SoilTextureUSDA,Isothermality,SoilOrganicCarbon
1.17,1.7136153734022108,-102.0,36.0,13.72500038146973,0.3411464269799998,36.0,1.6474266086936336,41.58163452148438,0.0225
1.361080635699999,1.4735732651134856,-75.0,213.0,6.3125,0.52,197.0,1.7419446361599442,25.12165451049805,0.0216
1.3559806356999988,1.4712716143113305,-75.0,213.0,6.3125,0.52,197.0,1.711614116976525,25.12165451049805,0.0216
1.37,1.459941954239475,-89.5,81.0,6.945833206176758,0.3610208913599999,81.0,1.4735732651134856,27.77131843566895,0.0052326
1.57,1.577181519487529,-89.5,81.0,6.945833206176758,0.3741390208099999,81.0,1.9943356532927217,27.77131843566895,0.0046512
1.13,1.4735732651134856,-76.0,249.0,11.02499961853027,0.534,247.0,1.4984228845066352,30.32473754882812,0.11
1.5,1.2758621871929,-76.0,249.0,11.02499961853027,0.535,247.0,1.4283775886342482,30.32473754882812,0.015
1.58,1.2786556369283903,-76.0,249.0,11.02499961853027,0.359,247.0,1.4735732651134856,30.32473754882812,0.03
1.69,1.277477582993327,-76.0,249.0,11.02499961853027,0.584,247.0,1.4077868668864084,30.32473754882812,0.014
1.13,1.1968305689795904,-76.0,249.0,11.02499961853027,0.534,247.0,1.341093822641188,30.32473754882812,0.11
1.5,1.1998751399547698,-76.0,249.0,11.02499961853027,0.535,247.0,1.3270942862177968,30.32473754882812,0.015
1.58,1.185048888328572,-76.0,249.0,11.02499961853027,0.359,247.0,1.3737583431508114,30.32473754882812,0.03
1.69,1.1854366670533594,-76.0,249.0,11.02499961853027,0.584,247.0,1.3039939954531556,30.32473754882812,0.014
0.88,1.1505025951693957,-78.0,208.0,8.408333778381348,0.635,208.0,1.264633634057204,31.63841819763184,0.071
1.56,1.178452338816207,-78.0,208.0,8.408333778381348,0.671,208.0,1.278414167188896,31.63841819763184,0.014
1.47,1.1936922480900192,-78.0,208.0,8.408333778381348,0.639,208.0,1.2836201036226842,31.63841819763184,0.02
1.59,1.2296572706435824,-78.0,208.0,8.408333778381348,0.466,208.0,1.3118892681428311,31.63841819763184,0.012
0.88,1.2669100447541395,-78.0,208.0,8.408333778381348,0.635,208.0,1.3080238475591195,31.63841819763184,0.071
1.56,1.2584272673495762,-78.0,208.0,8.408333778381348,0.671,208.0,1.2973656684611952,31.63841819763184,0.014
1.47,1.235742200993439,-78.0,208.0,8.408333778381348,0.639,208.0,1.2736647686828402,31.63841819763184,0.02
1.59,1.2142620615006343,-78.0,208.0,8.408333778381348,0.466,208.0,1.4124027846273288,31.63841819763184,0.012
1.64,1.1961949539165935,-76.0,249.0,11.02499961853027,0.423,247.0,1.311346474216251,30.32473754882812,0.11
1.6,1.2230275254660876,-76.0,249.0,11.02499961853027,0.421,247.0,1.3726522688147902,30.32473754882812,0.013
1.55,1.2209255561391494,-76.0,249.0,11.02499961853027,0.57,247.0,1.2512174275314123,30.32473754882812,0.021
1.78,1.2320852749190339,-76.0,249.0,11.02499961853027,0.23,247.0,1.8260366830324366,30.32473754882812,0.005
1.64,1.2470379395188897,-76.0,249.0,11.02499961853027,0.423,247.0,1.3455719601632867,30.32473754882812,0.11
1.6,1.2518972757876912,-76.0,249.0,11.02499961853027,0.421,247.0,1.3466183823219406,30.32473754882812,0.013
1.55,1.2545130502997413,-76.0,249.0,11.02499961853027,0.57,247.0,1.2619342333206025,30.32473754882812,0.021
1.78,1.2310345903114706,-76.0,249.0,11.02499961853027,0.23,247.0,1.8027078954060676,30.32473754882812,0.005
1.22,1.4735732651134856,-0.06667,85.0,15.23333358764648,0.473,78.0,1.342778572015597,37.62541961669922,0.011
1.14,1.623179328181208,-0.06667,85.0,15.23333358764648,0.473,78.0,1.3857792539389302,37.62541961669922,0.011
1.3,1.6568670580480296,-0.06667,85.0,15.23333358764648,0.473,78.0,1.4165486415609978,37.62541961669922,0.011
0.75,1.72005810238091,-117.0,173.0,8.458333015441895,0.715,80.0,1.2318866426501096,37.69607925415039,0.0371
1.1,1.7300865084000259,-117.0,173.0,8.458333015441895,0.704,80.0,1.2618108389471634,37.69607925415039,0.0147
1.1,1.631591904260523,-117.0,173.0,8.458333015441895,0.736,80.0,1.2278270494128218,37.69607925415039,0.0182
0.9,1.5869589604524732,-117.0,173.0,8.458333015441895,0.714,80.0,1.2198059851102336,37.69607925415039,0.0319
1.25,1.6048823721244616,-117.0,173.0,8.458333015441895,0.705,80.0,1.246679060708063,37.69607925415039,0.0143
1.25,1.5246942090692481,-117.0,173.0,8.458333015441895,0.74,80.0,1.2114865967742376,37.69607925415039,0.0134
0.75,1.4857895258260876,-117.0,173.0,8.458333015441895,0.715,80.0,1.1991159039904153,37.69607925415039,0.0371
1.1,1.5166340478134122,-117.0,173.0,8.458333015441895,0.704,80.0,1.2303093845911919,37.69607925415039,0.0147
1.1,1.4802301432635454,-117.0,173.0,8.458333015441895,0.736,80.0,1.2166447320476592,37.69607925415039,0.0182
