BulkDensity,AnnualPrecipitation,SoilOrganicCarbon,AverageAridityIndex,Season_sin,SoilTypeWRB,MeanDiurnalRange,UpperD_m,MeanTemperatureofDriestQuarter,Longitude,MeanTemperatureofWarmestQuarter,PrecipitationofDriestQuarter
1.5501000000000007,423.0,0.0034,0.0285,0.8660254037844387,0.8424191651812541,13.64166641235352,0.001,-7.183333396911621,110.3,21.5666675567627,9.0
1.4985100000000011,423.0,0.003,0.0285,0.0,0.874122838516359,13.64166641235352,0.001,-7.183333396911621,110.3,21.5666675567627,9.0
1.4664100000000004,423.0,0.003,0.0285,0.0,0.9403433348329693,13.64166641235352,0.001,-7.183333396911621,110.3,21.5666675567627,9.0
1.4415,423.0,0.003,0.0285,0.8660254037844387,0.9992799290132323,13.64166641235352,0.001,-7.183333396911621,110.3,21.5666675567627,9.0
1.4550999999999996,423.0,0.003,0.0285,0.8660254037844387,1.0377127903531134,13.64166641235352,0.001,-7.183333396911621,110.3,21.5666675567627,9.0
1.4448100000000006,423.0,0.0024,0.0285,0.0,1.057991223645963,13.64166641235352,0.001,-7.183333396911621,110.3,21.5666675567627,9.0
1.44661,423.0,0.0024,0.0285,0.0,1.0958576798102297,13.64166641235352,0.001,-7.183333396911621,110.3,21.5666675567627,9.0
1.3878899999999996,423.0,0.0024,0.0285,0.8660254037844387,1.127360630782633,13.64166641235352,0.001,-7.183333396911621,110.3,21.5666675567627,9.0
1.3463699999999994,423.0,0.0024,0.0285,0.8660254037844387,1.1391983461005226,13.64166641235352,0.001,-7.183333396911621,110.3,21.5666675567627,9.0
1.32938831296,423.0,0.0027,0.0285,0.0,1.1467408445809832,13.64166641235352,0.001,-7.183333396911621,110.3,21.5666675567627,9.0
1.3104483129599998,423.0,0.0027,0.0285,0.0,1.1700706178106508,13.64166641235352,0.001,-7.183333396911621,110.3,21.5666675567627,9.0
1.32474831296,423.0,0.0027,0.0285,0.8660254037844387,1.1995647495352981,13.64166641235352,0.001,-7.183333396911621,110.3,21.5666675567627,9.0
1.3113483129599997,423.0,0.0027,0.0285,0.8660254037844387,1.214297941390262,13.64166641235352,0.001,-7.183333396911621,110.3,21.5666675567627,9.0
1.52,200.0,0.0136,0.008700000000000001,-0.00866025403784447,1.6372588754253987,15.10833358764648,0.0,28.63333320617676,52.5,28.63333320617676,2.0
1.37,701.0,0.022,0.05810000000000001,0.18186533479473213,1.2051684067907138,10.5,0.0,16.5,172.5,16.5,150.0
1.25,701.0,0.029,0.05810000000000001,0.17320508075688776,1.2071980132543296,10.5,0.0,16.5,172.5,16.5,150.0
1.2078,764.0,0.031,0.0714,-0.8660254037844385,1.2621258000467888,11.375,0.0,-8.583333015441895,-93.0,21.26666641235352,69.0
1.2115999999999998,764.0,0.031,0.0714,-0.8660254037844385,1.0399603417454382,11.375,0.0,-8.583333015441895,-93.0,21.26666641235352,69.0
1.2330999999999999,764.0,0.031,0.0714,-0.8660254037844385,0.8714360990467686,11.375,0.0,-8.583333015441895,-93.0,21.26666641235352,69.0
1.01,637.0,0.0255,0.0532,0.8660254037844387,1.2362773783792145,10.38333320617676,0.0,14.80000019073486,172.5,16.39999961853027,142.0
1.25,637.0,0.0255,0.0532,0.8660254037844387,1.2434298735119134,10.38333320617676,0.175,14.80000019073486,172.5,16.39999961853027,142.0
1.24,637.0,0.0255,0.0532,0.8660254037844387,1.2321489674697583,10.38333320617676,0.175,14.80000019073486,172.5,16.39999961853027,142.0
1.24,637.0,0.0255,0.0532,0.8660254037844387,1.2215297894641817,10.38333320617676,0.175,14.80000019073486,172.5,16.39999961853027,142.0
1.32,637.0,0.0255,0.0532,0.8660254037844387,1.209921698217123,10.38333320617676,0.175,14.80000019073486,172.5,16.39999961853027,142.0
1.34,637.0,0.0255,0.0532,0.8660254037844387,1.1986321174138563,10.38333320617676,0.175,14.80000019073486,172.5,16.39999961853027,142.0
1.53,535.0,0.0054,0.0304,0.0,0.9033102456433302,11.51666641235352,0.0,26.08333396911621,-6.0,26.21666717529297,22.0
1.26,535.0,0.0054,0.0304,-2.449293598294706e-16,0.9317475888831588,11.51666641235352,0.0,26.08333396911621,-6.0,26.21666717529297,22.0
1.65,535.0,0.0054,0.0304,0.0,0.9917356012159012,11.51666641235352,0.0,26.08333396911621,-6.0,26.21666717529297,22.0
1.39,535.0,0.0054,0.0304,-2.449293598294706e-16,0.9673510014184614,11.51666641235352,0.0,26.08333396911621,-6.0,26.21666717529297,22.0
1.2,1008.0,0.037,0.1065,0.8660254037844387,0.9996848622365998,9.291666984558105,0.0,-4.300000190734863,-81.0,19.08333396911621,210.0
1.2,1008.0,0.037,0.1065,0.8660254037844387,1.0198382535019546,9.291666984558105,0.0,-4.300000190734863,-81.0,19.08333396911621,210.0
1.4,1008.0,0.019,0.1065,0.8660254037844387,1.0155081128730472,9.291666984558105,0.0,-4.300000190734863,-81.0,19.08333396911621,210.0
1.4,1008.0,0.019,0.1065,0.8660254037844387,1.0099309989901517,9.291666984558105,0.0,-4.300000190734863,-81.0,19.08333396911621,210.0
