SoilTextureUSDA,AnnualMeanTemperature,Longitude,ClayContent,SoilOrganicCarbon,BulkDensity,PrecipitationofDriestQuarter,SoilTypeWRB,SiltContent,SamplingTimeClass,Isothermality
1.5356014650010894,27.94583320617676,-1.0,0.115,0.0077,1.52998,5.0,1.7754215170988212,0.201,1.4085844051712426,62.47927474975586
1.5494550689195785,27.94583320617676,-1.0,0.115,0.0077,1.5426431540300003,5.0,1.861724746754781,0.201,1.4142730124521103,62.47927474975586
1.562530324986458,27.94583320617676,-1.0,0.115,0.0077,1.54554315403,5.0,1.9046034459146142,0.201,1.419849287505642,62.47927474975586
0.9522930717896689,26.78750038146973,78.6,0.248,0.00684,1.56,13.0,1.4735732651134856,0.171,1.425524169358826,48.14452743530273
1.0814224595793058,26.78750038146973,78.6,0.334,0.00625,1.62,13.0,1.5357566379256693,0.175,1.4270499732648352,48.14452743530273
1.1635239276040414,26.78750038146973,78.6,0.278,0.00889,1.41,13.0,1.5485148478596857,0.173,1.4283392828653867,48.14452743530273
1.2713854423106459,26.78750038146973,78.6,0.219,0.01782,1.37,13.0,1.641024768532333,0.179,1.4326020241496031,48.14452743530273
1.4224951923105273,13.73750019073486,135.3,0.21,0.0242,1.05,328.0,1.3754835367200005,0.29,1.8271781282344277,27.57623481750488
1.459456003112036,13.73750019073486,135.3,0.21,0.0117,1.1,328.0,1.4008457261271194,0.29,1.8749685968210377,27.57623481750488
1.499108041724099,13.73750019073486,135.3,0.21,0.0064,1.15,328.0,1.4286989476220644,0.29,1.9271161239640773,27.57623481750488
1.4744719405924003,13.73750019073486,135.3,0.21,0.0242,1.05,328.0,1.414408489113115,0.29,1.819338089837706,27.57623481750488
1.4646675410848378,13.73750019073486,135.3,0.21,0.0117,1.1,328.0,1.409542673313272,0.29,1.7623013560457814,27.57623481750488
1.45015951486915,13.73750019073486,135.3,0.21,0.0064,1.15,328.0,1.4011693087017025,0.29,1.7035898611241949,27.57623481750488
1.4735732651134856,18.02083396911621,-6.2,0.67,0.006,1.4897715159,21.0,1.7874022154198876,0.32,1.479284479345857,41.19812774658203
1.6593007954659584,13.26666641235352,1.4,0.32,0.01,1.09,146.0,1.366099496860504,0.502,1.4407081446566765,37.937744140625
1.6807107860887696,13.26666641235352,1.4,0.32,0.01,1.43,146.0,1.3881043443036714,0.502,1.444772354385591,37.937744140625
1.2888231160356798,13.26666641235352,1.4,0.166,0.008,1.07,146.0,1.3934030168540472,0.623,1.4454596211332846,37.937744140625
1.3014063387274846,13.26666641235352,1.4,0.166,0.008,1.42,146.0,1.4142300872928362,0.623,1.4497476404405794,37.937744140625
1.4626370389094274,13.26666641235352,1.4,0.104,0.013,1.28,146.0,1.4177007526931111,0.374,1.4502614827577456,37.937744140625
1.4650240692311398,13.26666641235352,1.4,0.104,0.013,1.4,146.0,1.4213903759545192,0.374,1.4508766756876315,37.937744140625
1.6687999433598981,13.26666641235352,1.4,0.331,0.013,1.23,146.0,1.4233554740552528,0.516,1.4511182055506555,37.937744140625
1.6638088007651572,13.26666641235352,1.4,0.331,0.013,1.41,146.0,1.429018973183584,0.516,1.4523198782456381,37.937744140625
1.3052952716862447,13.26666641235352,1.4,0.152,0.012,1.21,146.0,1.4321502499486007,0.58,1.452940039144174,37.937744140625
1.3144724277913822,13.26666641235352,1.4,0.152,0.012,1.4,146.0,1.4436014198734555,0.58,1.455796829690771,37.937744140625
1.5755015284095053,13.26666641235352,1.4,0.108,0.013,1.23,146.0,1.4446473610667527,0.302,1.4559822788237455,37.937744140625
1.5775564763085443,13.26666641235352,1.4,0.108,0.013,1.4,146.0,1.4506758506497608,0.302,1.4575544222697951,37.937744140625
1.6548362026917542,13.26666641235352,1.4,0.32,0.01,1.35,146.0,1.4503839906930522,0.502,1.4574185978161895,37.937744140625
1.6470455403874642,13.26666641235352,1.4,0.32,0.01,1.39,146.0,1.4525407911019728,0.502,1.4579826831495766,37.937744140625
1.3174133383744926,13.26666641235352,1.4,0.166,0.008,1.34,146.0,1.4511039284064482,0.623,1.457520816422826,37.937744140625
